Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Aashirvaad Svasti,Cow Ghee/Tuppa,1 L - Pet Jar,₹798,₹840,No Product Sale Price,₹42 OFF
Daawat,Basmati Rice/Basmati Akki - Rozana Super 90,5 kg,₹384.61,₹486,No Product Sale Price,21% OFF
Bullet,GTS Original Vada Colam Raw Rice,10 kg,₹947.7,₹1080,Get it for ₹900.32!,12% OFF
BB Royal,Pista Magaj - Plain Kernel,100 g - Pouch,₹267,₹400,Get it for ₹253.65!,33% OFF
Aashirvaad,Organic Whole Wheat Atta,1 kg,₹65,₹75,Get it for ₹61.75!,13% OFF
Fresho Organic,Cow Desi Ghee/Tuppa,2x1 L - (Multipack),₹1598,₹2600,No Product Sale Price,39% OFF
BB Popular,Cashew/Godambi - Broken,200 g - Pouch,₹150,₹240,No Product Sale Price,38% OFF
Fiona,Refined Sunflower Oil,1 L - Pouch,₹112.32,₹128,Get it for ₹106.70!,12% OFF
BB Royal,Organic - Black Pepper/Kali Mirchi,2x200 g - Multipack,₹444,₹500,No Product Sale Price,11% OFF
Tata Sampann,Turmeric Powder/Arisina Pudi,500 g,₹131.12,₹149,No Product Sale Price,12% OFF
BB Popular,Tamarind/Hunisehannu/Imli - Seedless,1 kg - Pouch,₹234,₹300,No Product Sale Price,22% OFF
Everest,Powder - Tikhalal Hot Chilly Pouch,3x100 g - Multipack,₹169.2,₹180,No Product Sale Price,₹11 OFF
Tata Salt,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",1 kg - Pouch,₹41,₹50,Har Din Sasta!,18% OFF
Tata Sampann,Kabuli Chana/Kabuli Kadale,1 kg - Pouch,₹312.62,₹319,No Product Sale Price,₹6 OFF
Tata Salt,Rock Salt/Uppu,1 kg - Pouch,₹98.4,₹120,Get it for ₹93.48!,18% OFF
BB Popular,Cumin/Jeera/Jeerige - Whole,500 g,₹308,₹500,Har Din Sasta!,38% OFF
India Gate,Basmati Rice/Basmati Akki - Dubar,1 kg - Pouch,₹129,₹167,Get it for ₹122.55!,23% OFF
BB Super Saver,Maida,1 kg,₹42.11,₹62,No Product Sale Price,32% OFF
BB Popular,Black Mustard/Sasive/Rai - Big,100 g,₹14,₹30,No Product Sale Price,53% OFF
Aashirvaad,Chilli Powder,500 g,₹184,₹230,Get it for ₹174.80!,20% OFF
BB Royal,Masoor Dal/Mysore Bele,200 g,₹26,₹37,No Product Sale Price,30% OFF
MTR,Turmeric Powder,250 Gm,₹85,₹95,No Product Sale Price,11% OFF
India Gate,Basmati Rice - Rozana,5 kg - Pack,₹449,₹605,Har Din Sasta!,26% OFF
India Gate,Basmati Rice/Basmati Akki - Classic,5 kg - Bag,₹1115,₹1245,Get it for ₹1059.25!,10% OFF
BB Royal,Organic - Chia Seeds,200 g,₹98,₹205,No Product Sale Price,52% OFF
Daawat,Basmati Rice/Basmati Akki - Biryani,1 kg - Pouch,₹202.53,₹235,No Product Sale Price,14% OFF
Tata Sampann,Coriander Powder,500 g,₹193.6,₹220,No Product Sale Price,12% OFF
BB Royal,Sabudana - White Medium,1 kg - Pouch,₹119,₹150,Get it for ₹113.05!,21% OFF
BB Super Saver,Ragi Flour/Ragi Hittu,1 kg,₹58,₹90,Get it for ₹55.10!,36% OFF
BB Royal,Organic - Chana Brown/Kadale Kaalu,200 g,₹27,₹33,No Product Sale Price,18% OFF
Fortune,Rice Bran Health Physically Refined Oil,5 L - Jar,₹691.64,₹775,Get it for ₹657.06!,11% OFF
BB Royal,Organic - Cashew/Godambi Whole Bold,200 g,₹234,₹350,No Product Sale Price,33% OFF
BB Royal,Khus Khus/Gasagase,100 g,₹185,₹400,No Product Sale Price,54% OFF
Parry's,Amrit - Brown Sugar,2x500 g - Multipack,₹79,₹100,No Product Sale Price,21% OFF
BB Super Saver,Green Moong Whole/Sabut,200 g,₹29,₹35,No Product Sale Price,17% OFF
India Gate,Rice/Akki - Jeera,1 kg,₹113.96,₹135,Get it for ₹108.26!,16% OFF
Daawat,Basmati Rice - Super,1 kg - Pouch,₹149.28,₹220,No Product Sale Price,32% OFF
Catch,Jeera/Jeerige - Whole,200 g,₹210,₹280,No Product Sale Price,25% OFF
BB Super Saver,Rice Flour/Akki Hittu,500 g,₹24,₹28,Get it for ₹22.80!,14% OFF
BB Royal,Organic - Foxtail Millet / Italian (Thinai Rice),2 kg,₹346,₹380,Get it for ₹328.70!,₹34 OFF
BB Royal,Organic - Ragi Flour/Ragi Hittu,500 g,₹38.54,₹41,Har Din Sasta!,6% OFF
Figaro,Olive Oil,2 l - Tin,₹2728.99,₹3999,No Product Sale Price,32% OFF
Tata Sampann,"Masoor Dal/Mysore Bele - Whole, Unpolished",1 kg - Pouch,₹125,₹159,Har Din Sasta!,21% OFF
BB Royal,Rajma/Capparadavare - White/Chitra,200 g - Pouch,₹44,₹55,No Product Sale Price,20% OFF
BB Popular,Masoor Dal/Mysore Bele,1 kg - Pouch,₹85,₹150,Get it for ₹80.75!,43% OFF
Double Horse,Vadi Matta Rice,5 kg - Bag,₹359.1,₹378,No Product Sale Price,₹19 OFF
Figaro,"Extra Virgin Olive Oil- 100% Natural and Cold Extracted- Perfect for Salad, Paratha, Marinade - Imported from Spain",500 ml - Bottle,₹709.94,₹1099,No Product Sale Price,35% OFF
BB Royal,Black Raisins/Ona Drakshi - Seedless,200 g - Pouch,₹98,₹120,Get it for ₹93.10!,18% OFF
BB Royal,Organic - Walnut Kernels/Akharot,2x200 g - Multipack,₹620,₹898,No Product Sale Price,31% OFF
Klf,Coconad - Coconut Oil,1 L - Pouch,₹171,₹180,No Product Sale Price,₹9 OFF
BB Royal,Organic - Jowar Flour,2x1 kg - Multipack,₹156,₹190,No Product Sale Price,18% OFF
Eastern,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",2x250 g - Multipack,₹320,₹540,No Product Sale Price,41% OFF
Aashirvaad,Sugar Release Control Atta/Godihittu,5 kg,₹338.8,₹385,No Product Sale Price,12% OFF
24 Mantra Organic,Whole Wheat Atta,3x5 kg - Multipack,₹872.1,₹1140,No Product Sale Price,24% OFF
BB Super Saver,Sooji/Bombay Rava,1 kg,₹53,₹62,Get it for ₹50.35!,15% OFF
BB Royal,"Atta With 9 Multigrain - High-Fibre & High Protein Soft Rotis, Fortified",10 kg,₹529,₹650,No Product Sale Price,19% OFF
BB Royal,Idli Sooji/Rava,2 kg - Pouch,₹101,₹120,No Product Sale Price,16% OFF
Aashirvaad,"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",1 kg,₹72.38,₹77,Har Din Sasta!,6% OFF
BB Royal,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,10 kg,₹410.27,₹465,No Product Sale Price,12% OFF
BB Popular,Idli/Idly Rice,2 kg,₹110,₹140,No Product Sale Price,21% OFF
BB Royal,Basmati Rice - Rozana Premium,2x5 Kg - Multipack,₹790,₹1150,No Product Sale Price,31% OFF
BB Royal,Lobia/Alasandee Kaalu - White,200 g - Pouch,₹31,₹35,No Product Sale Price,11% OFF
Freedom,"Refined Sunflower Oil - with Vitamins A, D & E",5 L - Can,₹585,₹720,Har Din Sasta!,19% OFF
Tata Sampann,"100% Pure California Almonds Whole - Premium Quality Badam Giri, Rich In Protein, Magnesium, Phosphorus, & Dietary Fibre, Premium Nuts & Dry Fruits",1 kg - Pouch,₹1152.8,₹1310,Get it for ₹1095.16!,12% OFF
BB Royal,Organic - Cloves/Lavanga,20 g,₹42,₹49,No Product Sale Price,14% OFF
BB Super Saver,Besan/Kadale Hittu,1 kg,₹102,₹120,Get it for ₹96.90!,15% OFF
