Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Ensure,"Health Drink - Chocolate Flavour, Provides Complete Nutrition For Adults",2 x 400 g - Multipack,₹1680,No Product Price,No Product Sale Price,No Discount
iD,Filter Coffee Liquid Strong,2 x 150 ml - Multipack,₹188.1,₹198,No Product Sale Price,₹10 OFF
Continental,Malgudi Filter Coffee Pouch -  80:20,200 g,₹140,No Product Price,Get it for ₹133!,No Discount
Slice,Thickest Mango Drink,4x1.2 L - Multipack,₹225.6,₹240,No Product Sale Price,₹14 OFF
Real Activ,100 % Orange Juice - With No Added Sugar and Preservative,3x1 L - Multipack,₹405,₹465,No Product Sale Price,13% OFF
Organic India,"Organic Tulsi Green Tea - Lemon & Ginger, Stress Relieving",45 g - (25 Bags x 1.8 g each),₹206.4,₹215,Get it for ₹196.08!,₹9 OFF
Narasus,"Coffee - Udhayam, Blend of Coffee & Chicory",500 g - Pouch,₹225,No Product Price,Get it for ₹213.75!,No Discount
iD,"Instant Coffee Powder - Chicory Mix, Shade-Grown, No Preservatives",200 g,₹331.8,₹420,Get it for ₹315.21!,21% OFF
Continental Malgudi,Fresh Filter Coffee - 60 Degree,500 g,₹229.25,₹250,Get it for ₹217.79!,₹21 OFF
Narasus,Coffee - Pure,500 g - Pouch,₹422,No Product Price,No Product Sale Price,No Discount
Emperia,Kadak Tea,2x1 kg - (Multipack),₹758,₹1140,No Product Sale Price,34% OFF
Raw Pressery,"Cold Extracted Juice - Basics, Sugarcane",3x1 L - Multipack,₹641.25,₹750,No Product Sale Price,15% OFF
Fresho Signature,"Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free",3x250 ml - Multipack,₹255.01,₹387,No Product Sale Price,34% OFF
ENSURE DIABETES CARE,"Diabetic Care Formula Mix-Chocolate, Nutrition For Diabetes Management",2 x 400 g - Multipack,₹1850,No Product Price,No Product Sale Price,No Discount
Hershey's,Exotic Dark Hot Chocolate Drink Powder Mix,250 g,₹199.75,₹235,Get it for ₹189.76!,15% OFF
Horlicks,"Mother's Plus, Vanilla",400 g - Carton,₹582.8,₹620,Har Din Sasta!,₹37 OFF
