Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Fresho,"Farm Quail Eggs - Small, Antibiotic Residue-Free",12 pcs,₹85,No Product Price,No Product Sale Price,No Discount
Tasty Nibbles,Light Meat Tuna Flakes In Sunflower Oil,185 g - Canned light meat tuna flakes with sunflower oil as base,₹160,No Product Price,No Product Sale Price,No Discount
Prasuma,Pork Frankfurter - Beechwood Smoked,300 g,₹280.25,₹295,No Product Sale Price,₹15 OFF
Big Sams's,Atlantic Salmon - Smoked  Presliced,200 g - Pouch,₹1595,No Product Price,No Product Sale Price,No Discount
Tasty Nibbles,"Tuna Flakes - Light Meat, in Water",185 g - Canned light meat tuna flakes with water as base,₹160,No Product Price,No Product Sale Price,No Discount
Ifb,Fresh Catch Prawns - King Jumbo,500 g - Approx 14 - 17 pcs,₹712,₹890,No Product Sale Price,20% OFF
Eggoz,"Brown Farm Fresh Eggs - High Bio Available Protein Eggs With No DDGS, Hormone & Steroids",10 pcs,₹145.6,₹160,No Product Sale Price,₹14 OFF
Fresho,"Seer Fish Large - Steak/Slice, Preservative Free, 4 To 6 pcs","500 g - (Gross Fish Weight 650-750 g, Net Weight After Cleaning 500 g)",₹399,₹620,Har Din Sasta!,36% OFF
Meatzza,Chicken Spicy Breast Strips,500 g,₹192.5,₹385,No Product Sale Price,50% OFF
sumeru,Pork -  Streaky Bacon,500 g - Pouch,₹637.5,₹750,No Product Sale Price,15% OFF
Meatzza,Chicken Fries,500 g,₹165,₹330,No Product Sale Price,50% OFF
Fresho,"Chicken Thigh - Boneless Without Skin, Soft & Tender",250 g,₹109,₹170,Har Din Sasta!,36% OFF
Seastar,Basa Fish - Fillet Family Pack,1 kg,₹599,No Product Price,No Product Sale Price,No Discount
Fresho,"White Prawns - Medium, Unpeeled, 20-30 pcs","250 g - (Gross Weight 250 g, Net Weight 250 g)",₹149,₹240,Har Din Sasta!,38% OFF
Zorabian,Chicken - Spicy Sausages,250 g - Pouch,₹170,No Product Price,No Product Sale Price,No Discount
Tasty Nibbles,"Light Meat Tuna Chunks In Water, Salt Added",185 g - Canned light meat tuna chunks with brine as base,₹170,No Product Price,No Product Sale Price,No Discount
ITC Master Chef,"Medium Prawns - Soft & Juicy, Super Safe Frozen Prawns",200 g,₹216,₹240,No Product Sale Price,₹24 OFF
H.S. Dry Fish,Bombay Duck,80 g,₹110,No Product Price,No Product Sale Price,No Discount
Tasty Nibbles,"Tuna Chunks - Light Meat, in Sunflower Oil",185 g - Canned light meat tuna chunks with sunflower oil as base,₹161.5,₹170,No Product Sale Price,₹9 OFF
Ifb,Fresh Catch Prawns - Jumbo,500 g - 33 - 39 pcs,₹552,₹690,No Product Sale Price,20% OFF
La Carne,Pork Premium Bacon,250 g - PKT,₹425,No Product Price,No Product Sale Price,No Discount
Fresho,"Mutton Goat Kid - Shoulder Pieces, Fresh & Tender, 7 To 9 pcs",250 g,₹339,₹493,No Product Sale Price,31% OFF
Delfrez,"Specialty Eggs For Nourishment, Healthy & Tasty",6 pcs - Pouch,₹73,₹79,No Product Sale Price,8% OFF
Big Sams's,Frozen Salmon Skin-on Portions,250 g,₹1305,₹1450,No Product Sale Price,₹145 OFF
Meatzza,Chicken - Jumbo Hot Dog,500 g,₹328.5,₹365,No Product Sale Price,₹37 OFF
Fresho,"Tandoori Chicken - Fresh & Juicy, Marinated, Ready To Cook",1 kg - (20-24 pcs 40 g each),₹399,₹740,Har Din Sasta!,46% OFF
Ifb,Fresh Catch Prawns - Large,200 g - Approx 35-37 pcs,₹255,No Product Price,No Product Sale Price,No Discount
H.S. Dry Fish,Prawns(Big),80 g,₹90,No Product Price,No Product Sale Price,No Discount
Buffet,Pork Back Bacon - Heat & Serve,400 g - Pouch,₹695,No Product Price,No Product Sale Price,No Discount
La Carne,Pork Premium Ham,250 g - PKT,₹325.01,₹350,No Product Sale Price,₹25 OFF
SKM BEST,"Cardio Egg With Low Cholesterol, Good For Heart",6 pcs - Pouch,₹99,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Neck - Antibiotic Residue-Free, 15-18 pcs",250 g,₹19,₹38,No Product Sale Price,50% OFF
La Carne,Sausage - Traditional Pork Kransky,280 g - Pouch,₹375,No Product Price,No Product Sale Price,No Discount
Fresho,Pink Perch Fish - Cleaned & Whole,1 kg,₹759,₹1180,Har Din Sasta!,36% OFF
Fresho,"Basa Fish Fillet - Preservative Free, 4 To 5 pcs",1 kg,₹579,₹958,No Product Sale Price,40% OFF
Ifb,Fresh Catch Basa Fish Portions,500 g - Approx 12 - 13 pcs,₹288,₹320,No Product Sale Price,₹32 OFF
Zorabian,Chicken - Spicy Salami,250 g - Pouch,₹170,No Product Price,No Product Sale Price,No Discount
La Carne,"Ham - Pork, Smoked",150 g - Carton,₹350,No Product Price,No Product Sale Price,No Discount
Zorabian,Chicken - Salami,250 g - Pouch,₹170,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Meatballs - Ready To Fry, Crispy",500 g,₹328.5,₹365,No Product Sale Price,₹37 OFF
Big Sams's,Frozen Basa Fish - Fillets,1 kg,₹562.5,₹625,No Product Sale Price,₹63 OFF
Fresho,"Chicken Salami - Sliced, Black Pepper, Ready To Fry, Rich In Protein",500 g,₹292.5,₹325,No Product Sale Price,₹33 OFF
Zorabian,Chicken - Sausages,250 g - Pouch,₹170,No Product Price,No Product Sale Price,No Discount
La Carne,Pork Premium Bacon Bits,250 g - PKT,₹270,₹300,No Product Sale Price,₹30 OFF
Buffet,Pork Frankfurter - Heat & Serve,500 g - Pouch,₹635,No Product Price,No Product Sale Price,No Discount
Seastar,Basa Fish - Fillet Chunks,500 g,₹325,No Product Price,No Product Sale Price,No Discount
H.S. Dry Fish,Prawns(Small),80 g,₹80,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Malai Tikka - Fresh & Juicy, Marinated, Ready To Cook",250 g - (12-14 pcs 15-20 g ),₹149,₹280,No Product Sale Price,47% OFF
Fresho,"Farm Eggs - Jumbo, Large, Antibiotic Residue-Free",6 pcs,₹99,₹115,Har Din Sasta!,14% OFF
Fresho,"Sardine Fish - Large, Whole Cleaned, Preservative Free, 10 To 15 pcs","500 g - (Gross Fish Weight 700-800 g, Net Weight After Cleaning 500 g)",₹239,₹380,No Product Sale Price,37% OFF
Fresho,"Chicken Leg - Without Skin, Fresh, Rich In Protein & Vitamins",400 g - Pouch,₹99,₹160,No Product Sale Price,38% OFF
Fresho,Chicken Seekh Kabab Lime N Pudina,500 g,₹310.5,₹345,No Product Sale Price,₹35 OFF
Fresho,Duck Eggs,5x6 pcs - Multipack,₹632.1,₹750,No Product Sale Price,16% OFF
Zorabian,Chicken - Cheese N Onion Sausages,250 g - Pouch,₹180,No Product Price,No Product Sale Price,No Discount
Fresho,"Lush Hariyali Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook",250 g - (10-14 pcs 15- 20 g each),₹139,₹260,Har Din Sasta!,47% OFF
Fresho,"Smoked Chicken Breast - Rich In Protein, Low In Fat",500 g,₹414,₹460,No Product Sale Price,₹46 OFF
Zorabian,Chicken - Seekh Kebab,250 g - Pouch,₹190,No Product Price,No Product Sale Price,No Discount
Fresho,"Creamy Afghani Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook",500 g - (22-28 pcs 15-20 g each),₹399,₹740,Har Din Sasta!,46% OFF
Fresho,Chicken Seekh Kabab - Angara/Spicy,500 g,₹256.5,₹285,No Product Sale Price,₹29 OFF
Meatzza,Chicken - Salami Masala Sliced,500 g,₹275,No Product Price,No Product Sale Price,No Discount
Fresho,"Mutton - Biryani Pieces, Antibiotic Residue-Free, Growth Hormone-Free",1 kg,₹999,₹1550,No Product Sale Price,36% OFF
Zorabian,Chicken - Cocktail Pepper Sausages,250 g - Pouch,₹170,No Product Price,No Product Sale Price,No Discount
Seastar,Fish Finger,250 g - Carton,₹235,No Product Price,No Product Sale Price,No Discount
Gadre,Imitation - Crab Claw,1 kg - Carton,₹600,No Product Price,No Product Sale Price,No Discount
Fresho,Chicken Seekh Kabab Malai N Cheese,500 g,₹319.5,₹355,No Product Sale Price,₹36 OFF
La Carne,Pork Classic Salami,250 g - PKT,₹250,₹275,No Product Sale Price,₹25 OFF
La Carne,Chicken Premium Ham,250 g - PKT,₹205,₹225,No Product Sale Price,₹20 OFF
Fresho,Chicken Wings - Antibiotic Residue-Free,1 kg,₹199,₹623,No Product Sale Price,68% OFF
Fresho,"Chicken Salami - Sliced, Spicy, Ready To Fry, Rich In Protein",500 g,₹292.5,₹325,No Product Sale Price,₹33 OFF
Buffet,Smoked Chicken Ham - Ready To Serve,200 g - Pouch,₹350,No Product Price,No Product Sale Price,No Discount
Prasuma,Chicken Cheese & Chiili  Sausage - Beechwood Smoked,250 g,₹171.6,₹195,No Product Sale Price,12% OFF
Fresho,"Chicken Sausages - Masala, Ready To Fry, Rich In Protein",500 g,₹301.5,₹335,No Product Sale Price,₹34 OFF
Delfrez,"Specialty Eggs With Vitamin D, For Energy",6 pcs,₹84,₹90,No Product Sale Price,7% OFF
Eggoz,"Nutrition Nutra Egg - Rich In Omega 3, Vitamin B12",10 pcs,₹141.05,₹155,No Product Sale Price,₹14 OFF
HenFruit,"EGG- 30 Farm Fresh - No antibiotics,hormone, steroids - All Natural",30 pcs,₹350,₹390,No Product Sale Price,10% OFF
H.S. Dry Fish,Nathili,80 g,₹80,No Product Price,No Product Sale Price,No Discount
Ocean Secret,Tuna Chunks in - Sunflower Oil,180 g - Tin,₹160,No Product Price,No Product Sale Price,No Discount
Ocean Secret,Tuna in Tantalizing Mayonnaise,180 g - Tin,₹160,No Product Price,No Product Sale Price,No Discount
Fresho,"BBQ Pepper Chicken Cubes - Fresh & Juicy, Marinated, Ready To Cook",250 g - (12-14 pcs 15-20 g each),₹159,₹300,Har Din Sasta!,47% OFF
Fresho Signature,"Pork - Smoked Breakfast Ham, Sliced",200 g,₹271,No Product Price,No Product Sale Price,No Discount
Blue Flame,Chicken Seekh Kebab,240 g,₹147,₹210,Flash Sale!,30% OFF
Buffet,Chicken Sausage - Heat & Serve,400 g - Pouch,₹355,No Product Price,No Product Sale Price,No Discount
Fresho,Chicken Seekh Kabab - Pahadi,500 g,₹310.5,₹345,No Product Sale Price,₹35 OFF
Ifb,Fresh Catch Prawns - Medium,200 g - Approx 48 - 52 pcs,₹215,No Product Price,No Product Sale Price,No Discount
Delfrez,Eggs With Omega 3 & Vitamin E For Healthy Heart,6 pcs - Carton,₹84,₹90,No Product Sale Price,7% OFF
Delfrez,"Specialty Eggs Shakti, Protein Rich",6 pcs - Carton,₹74,₹80,No Product Sale Price,8% OFF
H.S. Dry Fish,Ribbon Fish,100 g,₹75,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Cheese & Onion Sausages - Ready To Fry, Rich In Protein",500 g,₹328.5,₹365,No Product Sale Price,₹37 OFF
Blue Flame,"Chicken Peri-Peri Sausages - Halal, Rich In Iron, Easy To Make",300 g - (10 pcs),₹178.5,₹210,No Product Sale Price,15% OFF
Buffet,Medium Prawns - Peeled & Deveined,250 g - Pouch,₹275,No Product Price,No Product Sale Price,No Discount
Big Sams's,Frozen Squid - Rings (Calamari),250 g,₹337.5,₹375,No Product Sale Price,₹38 OFF
SFP,"Chicken - Sausages, Spicy",500 g - Pouch,₹280,No Product Price,No Product Sale Price,No Discount
La Carne,Sausage - Authentic Pork Bockwurst,280 g - Pouch,₹390,No Product Price,No Product Sale Price,No Discount
Big Sams's,Frozen Prawns - Large,250 g,₹310.5,₹345,No Product Sale Price,₹35 OFF
Gadre,Jus-Like - Crab Stick,1 kg - Pouch,₹650,No Product Price,No Product Sale Price,No Discount
SFP,Chicken - Tandoori Kabab,500 g,₹360,No Product Price,No Product Sale Price,No Discount
Meatzza,Chicken Cheese Onion Sausages,200 g,₹189,₹210,No Product Sale Price,₹21 OFF
Fresho,"Chicken Frankfurter - Ready To Fry, Rich In Protein",500 g,₹337.5,₹375,No Product Sale Price,₹38 OFF
Buffet,Ready to Cook - Small Prawns (Peeled & Deveined),250 g - Pouch,₹250,No Product Price,No Product Sale Price,No Discount
Meatzza,Smoked Back Bacon,250 g,₹395,No Product Price,No Product Sale Price,No Discount
La Carne,Chicken Bell Pepper Salami,250 g - PKT,₹180.01,₹190,No Product Sale Price,₹10 OFF
Ifb,Fresh Catch Prawns - Small,500 g - Approx 220 - 230 pcs,₹320,₹400,No Product Sale Price,20% OFF
Fresho,"Chicken Sausages - Black Pepper, Ready To Fry, Rich In Protein",500 g,₹301.5,₹335,No Product Sale Price,₹34 OFF
Fresho,"Mackerel Fish - Medium Whole Cleaned, Preservative Free,6 To 8 pcs","500 g - (Gross Fish Weight 600-700 g, Net Weight After Cleaning 500 g)",₹199,₹310,Har Din Sasta!,36% OFF
H.S. Dry Fish,Seer Fish,80 g,₹120,No Product Price,No Product Sale Price,No Discount
La Carne,Pork Cocktail Sausage,500 g - PKT,₹475,No Product Price,No Product Sale Price,No Discount
Meatzza,Fresh Chicken Drumsticks,500 g,₹245,No Product Price,No Product Sale Price,No Discount
Meatzza,Chicken - Salami Plain Sliced,500 g,₹275,No Product Price,No Product Sale Price,No Discount
CP EVERYDAY,Eggs - Brown,6 pcs,₹85,No Product Price,No Product Sale Price,No Discount
Meatzza,Fresh Chicken Curry Cut Bone In,500 g,₹175,No Product Price,No Product Sale Price,No Discount
Big Sams's,Premium Streaky Bacon,150 g - Paper Pouch,₹275,No Product Price,No Product Sale Price,No Discount
Happy Hens Farms,Free Range Eggs - Omega 3,6 pcs - Carton,₹135,₹150,Har Din Sasta!,₹15 OFF
SFP,Mutton - Sheekh Kabab,500 g - Pouch,₹375,No Product Price,No Product Sale Price,No Discount
Tasty Nibbles,Fried Prawn - Masala,50 g,₹150,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Sausages - Plain, Ready To Fry, Rich In Protein",500 g,₹292.5,₹325,No Product Sale Price,₹33 OFF
Fresho,"Amritsari Achari Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook",250 g - (12-14 pcs 15-20 g each),₹139,₹260,No Product Sale Price,47% OFF
Meatzza,Chicken Cheese Pops - Jalapeno,400 g,₹279,₹310,No Product Sale Price,₹31 OFF
Grace Jim's,Skipjack Tuna - Flakes In Oil,185 g - Can,₹194.65,₹229,Har Din Sasta!,15% OFF
Grace,Skipjack Tuna - Chunks In Water,185 g - Can,₹239,No Product Price,No Product Sale Price,No Discount
Capella,Chicken - Poona Special (Smoked),200 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Premier Mutton,Mutton Delicate Chops,450 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Goldi Finest,Black Forest Back Bacon,100 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Jims,"Salmon - Red, Fancy Sockeye",213 g,₹479,No Product Price,No Product Sale Price,No Discount
Cambay Tiger,Tilapia Mini Fillet,400 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Tulip,Mortadella Pork Meat - Rich In Protein,340 g - Can,₹450,No Product Price,No Product Sale Price,No Discount
Godrej Yummiez,Large Prawns,200 g,₹225.25,₹265,No Product Sale Price,15% OFF
Bon Appetit,Bratwurst - Pork,300 g - Pouch,No Product Price,No Product Price,No Product Sale Price,No Discount
Fresho,"Kolkata/Bengali Kachki Fish - Whole, Uncleaned",1 kg,₹719,₹1039,No Product Sale Price,31% OFF
Capella,Chicken - Lemon Pepper Cold Cut,200 g,No Product Price,No Product Price,No Product Sale Price,No Discount
MEISTERWURST,Pork Tenderloin - Raw,1 pc - (Approx. 300-500 g),₹425,No Product Price,No Product Sale Price,No Discount
Capella,Chicken - Mortadella,200 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Premier Mutton,Mutton Boneless Cubes,450 g,₹599,No Product Price,No Product Sale Price,No Discount
MEISTERWURST,Pork Tenderloin With Bacon Wrapped - Roasted,250 g,₹563,No Product Price,No Product Sale Price,No Discount
MEISTERWURST,Chicken Meatballs,300 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Grace Jim's,Skipjack Tuna - Flakes In Water,185 g - Can,₹229,No Product Price,No Product Sale Price,No Discount
Mr.EGG,Brown Egg,25 pcs - Box,₹380,No Product Price,No Product Sale Price,No Discount
Godrej Yummiez,Medium Prawns,200 g,₹212.5,₹250,No Product Sale Price,15% OFF
Fresho,Sea Sole Fish,1 kg,₹2157,No Product Price,No Product Sale Price,No Discount
Oasis,Chicken Meatballs,500 g,₹345,No Product Price,No Product Sale Price,No Discount
Tulip,"Chopped Ham - Classic, Gluten-Free & Rich In Protein",340 g,₹450,No Product Price,No Product Sale Price,No Discount
Godrej Yummiez,Jumbo Prawns,200 g,₹263.5,₹310,No Product Sale Price,15% OFF
Capella,Chicken Salami,500 g,₹255,No Product Price,No Product Sale Price,No Discount
Republic of Chicken,Chicken - Dimsum,400 g,₹255,No Product Price,No Product Sale Price,No Discount
Royal Star,Quail Eggs,12 pcs,₹60,No Product Price,No Product Sale Price,No Discount
9Essential,Natura Organic White Eggs,6 pcs,₹108,No Product Price,No Product Sale Price,No Discount
Fresho,"Basa Fish Cubes - Boneless, Fresh & Flavourful",250 g,₹189,₹300,Har Din Sasta!,37% OFF
Nourish Eat,Free Range Eggs - Farm Fresh,30 pcs,₹225.6,₹240,Har Din Sasta!,₹14 OFF
Fresho,"White Prawn - PUD Medium, HoReCa",2 kg,₹2000,No Product Price,No Product Sale Price,No Discount
Fresho,Tilapia Fillet - Fresh & Flavourful,250 g,₹109,₹155,No Product Sale Price,30% OFF
