Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Philips,"LED Bulb - 10 Watt, Cool Day Light, Ace Saver Base B22",2 x 1 pc - Multipack,₹182.88,₹400,No Product Sale Price,54% OFF
Pigeon by Stovekraft,"Mini Fruit & Vegetable Chopper With 3 Blades - Plastic, Green, Durable, Multiutility",400 ml,₹229,₹545,Get it for ₹217.55!,58% OFF
Temptations,Cat Treat - Tempting Tuna Flavour,3 x 85 g - Multipack,₹405,₹450,No Product Sale Price,₹45 OFF
Swastik Housewares,"Plastic Food Bag Clips - Multicoloured,  Maintain The Hygiene & Freshness Of Your Food",12 pcs,₹85,₹99,Get it for ₹80.75!,14% OFF
Anjali,"Gas Lighter - Stainless Steel, Long-Lasting",1 pc,₹120,₹160,Get it for ₹114!,25% OFF
Prestige,"Deluxe Granite Non Stick Cookware Set - Kadai 24 cm, Frypan 24 cm, Tawa 28 cm","3 pcs - (Kadhai 2.3 L, Fry Pan 1.7 L)",₹2099,₹4220,Get it for ₹1994.05!,50% OFF
Laopala Diva,"Opalware Dinner Plates - Dishwasher Safe, Ivory",6 pcs,₹599,₹720,Har Din Sasta!,17% OFF
Pedigree,"Biscrok Biscuits Dog Treat - Above 4 Months, Chicken Flavour",500 g,₹144,₹160,No Product Sale Price,₹16 OFF
Pedigree,"Wet Dog Food - Chicken Chunks In Gravy, For Puppy",2 x 70 g - Multipack,₹64,₹80,No Product Sale Price,20% OFF
NATURES PLUS,Organic Fertiliser,5 Kg,₹219,₹450,Get it for ₹208.05!,51% OFF
NATURES PLUS,"Organic Pesticide, Fungicide & Miticide",300 ml,₹179,₹190,Get it for ₹170.05!,₹11 OFF
Cello,"Water Bottle - H2O, Purple",2x1 L - Multipack,₹284.89,₹432,No Product Sale Price,34% OFF
Leoron by Srushti Gold,Aluminium Outer Lid Pressure Cooker Combo,2 pcs - (3 L + 2 L),₹749,₹1750,Get it for ₹711.55!,57% OFF
Le Kaviraj,"Aluminium Handi - Non Stick Coated, 30 cm, Glass Lid, 4 L",1 pc,₹575,₹999,Get it for ₹546.25!,42% OFF
Whiskas,"Dry Pet Food - For Adult Cats, 1+ Years, Tuna Flavour",7 kg,₹2065.5,₹2430,Get it for ₹1962.23!,15% OFF
BB Home Earth,"Serving/Mixing Bowl With Lid, Hand- Painted Ceramic, Checkered Yellow & Blue",500 ml,₹299,₹499,Get it for ₹284.05!,40% OFF
Crystal,"Stainless Steel Oil Pourer - Sturdy, Elegant , Convenient Kitchen Storage",1 L,₹349,₹595,Har Din Sasta!,41% OFF
Navrang,"Non-Stick Aluminium Kadai - 3 Layer, Induction Base, 22 cm, 2.7 mm",2 l,₹349,₹696,Get it for ₹331.55!,50% OFF
BB Home Earth,"Coffee/ Tea/ Milk Mug,  Hand Crafted Ceramic Floral Summer Yellow",300 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
Whiskas,"Dry Pet Food - For Adult Cats, 1+ Years, Chicken Flavour",1.2 kg,₹420.75,₹495,Get it for ₹399.71!,15% OFF
BB Home Earth,"Planter/ Pot With Tray, Hand-crafted Ceramic, Vintage Peacock Green, 15.24 cm, Small Size",1 pc,₹299,₹599,Get it for ₹284.05!,50% OFF
Laplast,"Cloth Hangers - Plastic, Blue, High Quality, Sturdy",10 pcs,₹80,₹323,Get it for ₹76!,75% OFF
Cello,H2O Glass Water Bottle,920 ml,₹189,₹249,Get it for ₹179.55!,24% OFF
Nirlon,"Induction Base Non-Stick Flat/Dosa Tawa - Durable, 26 cm, Maroon",1 pc,₹349,₹1015,Get it for ₹331.55!,66% OFF
Srushti Gold,Aluminium Outer Lid Pressure Cooker Combo,3 pcs - (2 L + 3 L + 5 L),₹1499,₹2750,Get it for ₹1424.05!,45% OFF
BB Home Earth,"Coffee/ Tea/ Milk Mug, Hand Crafted Ceramic, Rustic Garden Brown",180 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
Energizer,"Alkaline Power Battery - AA, 1.5 V, Mercury-Free",4 pcs - Blister Pack,₹99,₹200,Get it for ₹94.05!,51% OFF
BB Home Earth,"Serving/Mixing Bowl, Hand Painted Ceramic - Chic Abstract Green Orange",500 ml,₹299,₹499,Get it for ₹284.05!,40% OFF
BB Home Earth,"Planter/ Pot With Tray, Hand- Painted Ceramic, Vintage Optical Weave Red, 15.24 cm, Small Size",1 pc,₹299,₹599,Get it for ₹284.05!,50% OFF
Whiskas,"Dry Cat Food For Adult Cats - Chicken Flavour, 1+ Years,",3 kg,₹1030.4,₹1120,Get it for ₹978.88!,₹90 OFF
BB Home Earth,"Pickle/ Chutney Server, Hand Crafted Ceramic, Maroon Black",50 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
Kitchen Essentials,"Stainless Steel Milk Pan - Induction Base, Dishwasher Safe, 14 cm, With Handle, Home Zone",1.1 L,₹169,₹359,Get it for ₹160.55!,53% OFF
BB Home Earth,"Storage/ Serving Handi, Hand Painted Ceramic, Diamond Blue Hand Painted",700 ml,₹199,₹349,Get it for ₹189.05!,43% OFF
